HJ_manualdecision	HJ_comments	Deprecate_category	BIDS_string	Scan_comments
NA	No BOLD data. Equipment failure	investigate: other	sub-0069_ses-04_task-social_acq-mb8_run-05	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs PCVCPV. "
NA	No BOLD data. Equipment failure	investigate: other	sub-0070_ses-01_task-social_acq-mb8_run-03	"The thermode was still not working from first participant today, so no pain data was collected"
NA	No BOLD data. Equipment failure	investigate: other	sub-0070_ses-01_task-social_acq-mb8_run-06	"The thermode was still not working from first participant today, so no pain data was collected"
NA	No BOLD data. Equipment failure	investigate: other	sub-0070_ses-03_task-social_acq-mb8_run-03	"PVC: Due to the newly received thermode breaking again, we skipped the pain runs VCPPCV. "
NA	No BOLD data. Equipment failure	investigate: other	sub-0070_ses-03_task-social_acq-mb8_run-04	"PVC: Due to the newly received thermode breaking again, we skipped the pain runs VCPPCV. "
NA	No BOLD data. Failed pain run. No behavioral data	investigate: other	sub-0071_ses-01_task-social_acq-mb8_run-05	PVC: thermode worked fine for a few trials in run 2 but then stopped reaching the correct temperature and ultimately failed a pre-test. We had to stop that run. The thermode then threw an 8007 error during pretest before the next pain run so it wasn't usable
NA	No BOLD data. Equipment failure	investigate: other	sub-0074_ses-04_task-social_acq-mb8_run-05	"- Encountered reconstruction error at the start of the scan. Had to reboot and skip 2nd half of PVC and all of align videos due to timing contraints. 
- Participant noted that it was hard to read the narratives during the fractional task but she was able to figure out some words based on context"
NA	No BOLD data. Equipment failure	investigate: other	sub-0074_ses-04_task-social_acq-mb8_run-06	"- Encountered reconstruction error at the start of the scan. Had to reboot and skip 2nd half of PVC and all of align videos due to timing contraints. 
- Participant noted that it was hard to read the narratives during the fractional task but she was able to figure out some words based on context"
NA	No BOLD data. Equipment failure	investigate: other	sub-0074_ses-04_task-alignvideo_acq-mb8_run-01	"- Encountered reconstruction error at the start of the scan. Had to reboot and skip 2nd half of PVC and all of align videos due to timing contraints. 
- Participant noted that it was hard to read the narratives during the fractional task but she was able to figure out some words based on context"
NA	No BOLD data. Equipment failure	investigate: other	sub-0074_ses-04_task-alignvideo_acq-mb8_run-02	"- Encountered reconstruction error at the start of the scan. Had to reboot and skip 2nd half of PVC and all of align videos due to timing contraints. 
- Participant noted that it was hard to read the narratives during the fractional task but she was able to figure out some words based on context"
RENAME	Need to rename the runs. Check issue https://github.com/spatialtopology/spacetop-prep/issues/97	investigate: other	sub-0075_ses-01_task-social_acq-mb8_run-05	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs PCVCPV. We used the first 4 runs on the sccanner and skipped the last two. "
NA	No BOLD data. Equipment failure	investigate: other	sub-0075_ses-03_task-social_acq-mb8_run-02	ShortVid: Repeated midway since P squeezed the ball to have the volume increased
NA	No BOLD data. Equipment failure	investigate: other	sub-0075_ses-03_task-social_acq-mb8_run-05	ShortVid: Repeated midway since P squeezed the ball to have the volume increased
NA	No BOLD data. Equipment failure	investigate: other	sub-0076_ses-01_task-social_acq-mb8_run-02	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs VPCPVC"
NA	No BOLD data. Equipment failure	investigate: other	sub-0076_ses-01_task-social_acq-mb8_run-04	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs VPCPVC"
NA	No BOLD data. Equipment failure	investigate: other	sub-0076_ses-03_task-social_acq-mb8_run-03	
NA	No BOLD data. Equipment failure	investigate: other	sub-0076_ses-03_task-social_acq-mb8_run-06	
NA	No BOLD data. Equipment failure	investigate: other	sub-0077_ses-01_task-social_acq-mb8_run-03	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs VCPPCV"
NA	No BOLD data. Equipment failure	investigate: other	sub-0077_ses-01_task-social_acq-mb8_run-04	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs VCPPCV"
NA	No BOLD data. Equipment failure	investigate: other	sub-0079_ses-01_task-social_acq-mb8_run-03	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs VCPPCV"
NA	No BOLD data. Equipment failure	investigate: other	sub-0079_ses-01_task-social_acq-mb8_run-04	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs VCPPCV"
NA	No BOLD data. Not sure why	investigate: other	sub-0081_ses-03_task-shortvideo_acq-mb8_run-01	
NA	No BOLD data	investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-01	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
NA	No BOLD data	investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-02	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
NA	No BOLD data	investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-03	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
NA	No BOLD data	investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-04	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
NA	No BOLD data	investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-05	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
NA	No BOLD data	investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-06	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
NA	No BOLD data. Failed pain run. No behavioral data	investigate: other	sub-0084_ses-03_task-social_acq-mb8_run-06	"PVC: skipped pain runs (03+06) due to 8007 error. Details: the TSA had passed the safety test and successfully ran with matlab pretest before setting up the participant. When starting the first pain run, I noticed medoc wasn't making the usual trigger sound but the participant was still making ratings (she later confirmed verbally she did not feel pain stimulus). I pulled up medoc and saw that everything was greyed out and there was an error message about failing the pre-test even though the TSA unit itself was still green. I restarted matlab, stopped the run, and detached the thermode from the participant before redoing the safety test, which is when 8007 error first appeared. 
Align videos: participant hit the emergency ball to report that the trackball stopped working properly. She verified that it had been working up until that point. We re-calibrated and went ahead to the next run. Issue was reported a little less than halfway through (circa the car flood video)."
NA	No BOLD data	investigate: other	sub-0085_ses-01_task-alignvideo_acq-mb8_run-04	"- Possible abnormality: I'm not sure its a genuine concern, probably just a structural difference, but there's some asymmetry going on --> CLEARED BY TERRY 10/7
- PVC: Recalibrated trackball before second pain run (participant reported that it was lagging)
- Align videos: recalibrated trackball again before first AV run. 
- Align videos: One headphone fell out of the participants ear during the first run.  Participant was able to reinsert without head movement. Restarted once fixed.
- Align Videos: Option to ""repeat"" run 1 was unavailable so we pulled it from the program card and yolked it to the proper fmap
- Align videos: skipped last run due to time contraints"
NA	No BOLD data	investigate: other	sub-0091_ses-04_task-alignvideo_acq-mb8_run-01	"AV(01 and 02): We got a combination of image reconstruction error that would not proceed by clicking ""ok"" so we skipped AV"
NA	No BOLD data	investigate: other	sub-0091_ses-04_task-alignvideo_acq-mb8_run-02	"AV(01 and 02): We got a combination of image reconstruction error that would not proceed by clicking ""ok"" so we skipped AV"
NA	No BOLD data	investigate: other	sub-0103_ses-01_task-social_acq-mb8_run-04	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
NA	No BOLD data	investigate: other	sub-0103_ses-01_task-social_acq-mb8_run-05	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
NA	No BOLD data	investigate: other	sub-0103_ses-01_task-social_acq-mb8_run-06	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
NA	No BOLD data	investigate: other	sub-0103_ses-01_task-alignvideo_acq-mb8_run-04	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
NA	No BOLD data	investigate: other	sub-0118_ses-02_task-alignvideo_acq-mb8_run-04	
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-social_acq-mb8_run-04	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-social_acq-mb8_run-05	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-social_acq-mb8_run-06	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-shortvideo_acq-mb8_run-01	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-alignvideo_acq-mb8_run-01	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-alignvideo_acq-mb8_run-02	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0123_ses-03_task-alignvideo_acq-mb8_run-03	p did not feel well. had to pull them out
NA	No BOLD data	investigate: other	sub-0128_ses-01_task-alignvideo_acq-mb8_run-03	audio issues - we troubleshooted. took longer than planned. dropped two video scans
NA	No BOLD data	investigate: other	sub-0128_ses-01_task-alignvideo_acq-mb8_run-04	audio issues - we troubleshooted. took longer than planned. dropped two video scans
