Deprecate_category	BIDS_string	Scan_comments
investigate: other	sub-0082_ses-01_task-social_acq-mb8_run-06	"PVC: We start PVC task multiple times (P), the cursor kep diappering and the code was freezing midway. After restarting everything (besides getting the lab jack error multiple times) and checking connections, I notived the anchor for cable from stim PC to TP link was broken and connection was loose. Since we're in the middle of align vids, I'm not sure if the problem is resolved but will check before the next participant."
investigate: other	sub-0084_ses-03_task-social_acq-mb8_run-06	"PVC: skipped pain runs (03+06) due to 8007 error. Details: the TSA had passed the safety test and successfully ran with matlab pretest before setting up the participant. When starting the first pain run, I noticed medoc wasn't making the usual trigger sound but the participant was still making ratings (she later confirmed verbally she did not feel pain stimulus). I pulled up medoc and saw that everything was greyed out and there was an error message about failing the pre-test even though the TSA unit itself was still green. I restarted matlab, stopped the run, and detached the thermode from the participant before redoing the safety test, which is when 8007 error first appeared. 
Align videos: participant hit the emergency ball to report that the trackball stopped working properly. She verified that it had been working up until that point. We re-calibrated and went ahead to the next run. Issue was reported a little less than halfway through (circa the car flood video)."
investigate: other	sub-0085_ses-01_task-alignvideo_acq-mb8_run-04	"- Possible abnormality: I'm not sure its a genuine concern, probably just a structural difference, but there's some asymmetry going on --> CLEARED BY TERRY 10/7
- PVC: Recalibrated trackball before second pain run (participant reported that it was lagging)
- Align videos: recalibrated trackball again before first AV run. 
- Align videos: One headphone fell out of the participants ear during the first run.  Participant was able to reinsert without head movement. Restarted once fixed.
- Align Videos: Option to ""repeat"" run 1 was unavailable so we pulled it from the program card and yolked it to the proper fmap
- Align videos: skipped last run due to time contraints"
investigate: other	sub-0091_ses-04_task-alignvideo_acq-mb8_run-01	"AV(01 and 02): We got a combination of image reconstruction error that would not proceed by clicking ""ok"" so we skipped AV"
investigate: other	sub-0091_ses-04_task-alignvideo_acq-mb8_run-02	"AV(01 and 02): We got a combination of image reconstruction error that would not proceed by clicking ""ok"" so we skipped AV"
investigate: other	sub-0103_ses-01_task-social_acq-mb8_run-04	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
investigate: other	sub-0103_ses-01_task-social_acq-mb8_run-05	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
investigate: other	sub-0103_ses-01_task-social_acq-mb8_run-06	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
investigate: other	sub-0103_ses-01_task-alignvideo_acq-mb8_run-04	PCV: We skipped the last 3 because we faced issues with heat calibration both upstairs and downstairs we also skipped the last align vid run since the P needed to get out at a certain time
investigate: other	sub-0118_ses-02_task-alignvideo_acq-mb8_run-04	
investigate: other	sub-0123_ses-03_task-social_acq-mb8_run-04	p did not feel well. had to pull them out
investigate: other	sub-0123_ses-03_task-social_acq-mb8_run-05	p did not feel well. had to pull them out
investigate: other	sub-0123_ses-03_task-social_acq-mb8_run-06	p did not feel well. had to pull them out
investigate: other	sub-0123_ses-03_unknown-task_acq-mb8_unknown-run	p did not feel well. had to pull them out
investigate: other	sub-0123_ses-03_task-alignvideo_acq-mb8_run-01	p did not feel well. had to pull them out
investigate: other	sub-0123_ses-03_task-alignvideo_acq-mb8_run-02	p did not feel well. had to pull them out
investigate: other	sub-0123_ses-03_task-alignvideo_acq-mb8_run-03	p did not feel well. had to pull them out
investigate: other	sub-0128_ses-01_task-alignvideo_acq-mb8_run-03	audio issues - we troubleshooted. took longer than planned. dropped two video scans
investigate: other	sub-0128_ses-01_task-alignvideo_acq-mb8_run-04	audio issues - we troubleshooted. took longer than planned. dropped two video scans
investigate: other	sub-0131_ses-01_task-t1_acq-mb8_(structural)	PVC 05 error on TSA
